wallet,credit_score
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,564.37
0x0030040e8d836ac3e546c354f9b373e70a14deeb,617.07
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,508.97
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,661.97
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,621.22
0x003094a91a3b5523bc601b221f80183bd347e9ae,608.06
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,653.98
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,724.25
0x0030de8f624d2b2513c6dbbff788bb109b80304d,660.67
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,652.23
0x0030ee334630838ea4dee0b4b6ecbc973529031f,454.7
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,660.77
0x00326e37cef76788f6b0cf643c94481d60bd3d58,684.93
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,568.26
0x003325d3054cd7668fb16f19ea11bae6d02a474c,627.58
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,684.9
0x0034d2a08772822866b08d2c585e5c8e25723760,674.88
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,639.18
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,455.83
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,665.77
0x0036534c48a754163f0f446601f36bcfda840f57,733.26
0x00368bb9dba2ee83f3553feae59710b9c3743e09,445.78
0x0036a2f1f6136bb9d7992f7def692126a279e702,660.69
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,554.9
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,678.74
0x0037643e4ec2b622270676e9e7aa163b261cfb79,602.29
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,648.19
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,361.64
0x0038281701bf3f51fdbb18903c6e18776780a9a1,601.62
0x00389de87cae34a6f89e13cc8225c4984add8b37,547.08
0x0039e71541bdc798d062346bce94230bf519bb72,384.51
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,720.91
0x003a85c562730b196f7cba202a2515f2ff855736,873.77
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,726.51
0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,607.94
0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,491.87
0x003b2816d976cebbf0cadec981ff59286b6d7f2f,635.52
0x003be39433bde975b12411fbc3025d49d813a84f,352.45
0x003cb0842811db8d115e28f13048dd83db391dcb,602.12
0x003dc03b7d7fe265e1c1db88bb1c6b1e6bcd06a7,661.49
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,627.52
0x003e9a119439ef34de3237034cee95675b01d5d4,706.03
0x003ed65a094ef804c934f2427b601e03113882ff,646.83
0x003edfecb016131dbd485c72f3b6f2e98a1429d9,457.39
0x003f705c2e62e268891d8aa2724e32f2176dc963,666.74
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,774.12
0x00405f7b768a9a6b81e8060a17f0550501acf6be,325.78
0x0040932d4c252856709b24dc406244392d3df400,609.8
0x0040daac32d83c78546ae36da42a496b28ab09e1,707.69
0x00418b8ea6c6e2d5676f651bf76a368adb845e91,676.25
0x0041dac13d9365b4d695fb612950dc71884f8db1,728.42
0x0043090d0a3338eb89914ea9af5c529e928a044c,624.61
0x0043260ff376a32f335de2091e8bd455d74ecef9,601.64
0x00432772ed25d4eb3c6eb26dc461239b35cf8760,660.87
